Date,Open,High,Low,Close,Adj Close,Volume
2019-09-23,2087.699951,2095.540039,2085.600098,2091.699951,2091.699951,400
2019-09-24,2090.189941,2101.629883,2085.909912,2101.040039,2101.040039,500
2019-09-25,2093.469971,2095.270020,2072.409912,2073.389893,2073.389893,700
2019-09-26,2082.659912,2087.330078,2064.340088,2074.520020,2074.520020,400
2019-09-27,2066.959961,2066.959961,2044.750000,2049.929932,2049.929932,300
2019-09-30,2045.770020,2064.989990,2042.010010,2063.050049,2063.050049,300
2019-10-01,2062.439941,2077.479980,2057.909912,2072.419922,2072.419922,400
2019-10-02,2058.229980,2058.229980,2031.910034,2031.910034,2031.910034,400
2019-10-04,2028.400024,2039.430054,2020.689941,2020.689941,2020.689941,400
2019-10-07,2031.530029,2034.939941,2016.189941,2021.729980,2021.729980,300
2019-10-08,2029.369995,2046.810059,2024.630005,2046.250000,2046.250000,400
2019-10-10,2030.130005,2040.880005,2010.900024,2028.150024,2028.150024,400
2019-10-11,2048.080078,2053.939941,2040.479980,2044.609985,2044.609985,400
2019-10-14,2068.129883,2075.100098,2065.530029,2067.399902,2067.399902,500
2019-10-15,2064.780029,2073.209961,2064.340088,2068.169922,2068.169922,500
2019-10-16,2080.919922,2090.010010,2073.800049,2082.830078,2082.830078,500
2019-10-17,2081.760010,2087.149902,2072.489990,2077.939941,2077.939941,300
2019-10-18,2082.229980,2088.540039,2057.889893,2060.689941,2060.689941,500
2019-10-21,2067.969971,2067.969971,2059.330078,2064.840088,2064.840088,600
2019-10-22,2076.290039,2093.810059,2073.080078,2088.860107,2088.860107,504100
2019-10-23,2086.810059,2088.250000,2074.879883,2080.620117,2080.620117,429500
2019-10-24,2089.850098,2089.850098,2067.899902,2085.659912,2085.659912,367700
2019-10-25,2091.159912,2091.239990,2079.300049,2087.889893,2087.889893,348700
2019-10-28,2096.669922,2104.389893,2089.760010,2093.600098,2093.600098,269200
2019-10-29,2103.919922,2105.169922,2088.040039,2092.689941,2092.689941,357700
2019-10-30,2093.510010,2093.510010,2075.540039,2080.270020,2080.270020,415600
2019-10-31,2089.219971,2103.709961,2083.479980,2083.479980,2083.479980,461300
2019-11-01,2084.790039,2100.419922,2081.530029,2100.199951,2100.199951,418300
2019-11-04,2111.320068,2130.830078,2111.320068,2130.239990,2130.239990,476300
2019-11-05,2133.659912,2143.120117,2128.699951,2142.639893,2142.639893,400600
2019-11-06,2142.689941,2156.229980,2138.830078,2144.149902,2144.149902,410100
2019-11-07,2141.050049,2147.010010,2135.449951,2144.290039,2144.290039,425700
2019-11-08,2154.179932,2155.939941,2133.750000,2137.229980,2137.229980,574100
2019-11-11,2139.070068,2139.070068,2119.070068,2124.090088,2124.090088,617300
2019-11-12,2131.260010,2140.939941,2121.800049,2140.919922,2140.919922,610400
2019-11-13,2132.479980,2133.370117,2118.669922,2122.449951,2122.449951,664400
2019-11-14,null,null,null,null,null,null
2019-11-15,2137.959961,2165.020020,2135.260010,2162.179932,2162.179932,556200
2019-11-18,2161.889893,2165.889893,2151.969971,2160.689941,2160.689941,489200
2019-11-19,2151.040039,2154.409912,2137.010010,2153.239990,2153.239990,826900
2019-11-20,2140.060059,2145.969971,2123.800049,2125.320068,2125.320068,581100
2019-11-21,2123.649902,2125.360107,2088.189941,2096.600098,2096.600098,579600
2019-11-22,2098.889893,2106.419922,2093.989990,2101.959961,2101.959961,519900
2019-11-25,2117.139893,2130.040039,2116.070068,2123.500000,2123.500000,397700
2019-11-26,2129.270020,2139.639893,2120.850098,2121.350098,2121.350098,532600
2019-11-27,2134.469971,2136.300049,2118.070068,2127.850098,2127.850098,367600
2019-11-28,2116.929932,2127.750000,2116.580078,2118.600098,2118.600098,335200
2019-11-29,2125.530029,2125.530029,2085.100098,2087.959961,2087.959961,432900
2019-12-02,2097.550049,2103.870117,2088.919922,2091.919922,2091.919922,385300
2019-12-03,2075.020020,2085.709961,2066.600098,2084.070068,2084.070068,450000
2019-12-04,2070.840088,2072.909912,2057.449951,2068.889893,2068.889893,347000
2019-12-05,2078.310059,2084.290039,2053.560059,2060.739990,2060.739990,472200
2019-12-06,2072.439941,2084.439941,2070.169922,2081.850098,2081.850098,440200
2019-12-09,2091.939941,2093.810059,2084.310059,2088.649902,2088.649902,393100
2019-12-10,2081.219971,2100.479980,2080.159912,2098.000000,2098.000000,500100
2019-12-11,2098.280029,2109.219971,2092.479980,2105.620117,2105.620117,668700
2019-12-12,2120.129883,2138.929932,2120.129883,2137.350098,2137.350098,584600
2019-12-13,2164.629883,2170.250000,2159.449951,2170.250000,2170.250000,540000
2019-12-16,2168.050049,2175.010010,2166.290039,2168.149902,2168.149902,377100
2019-12-17,2179.399902,2196.010010,2171.090088,2195.679932,2195.679932,599500
2019-12-18,2194.919922,2204.040039,2187.320068,2194.760010,2194.760010,591100
2019-12-19,2199.419922,2204.729980,2186.590088,2196.560059,2196.560059,643100
2019-12-20,2205.570068,2206.820068,2194.800049,2204.179932,2204.179932,646700
2019-12-23,2208.219971,2209.199951,2196.429932,2203.709961,2203.709961,502000
2019-12-24,2206.229980,2206.229980,2187.580078,2190.080078,2190.080078,570000
2019-12-26,2192.219971,2198.010010,2183.899902,2197.929932,2197.929932,571300
2019-12-27,2183.699951,2215.550049,2177.399902,2204.209961,2204.209961,490200
2019-12-30,2202.620117,2208.040039,2195.649902,2197.669922,2197.669922,416400
2020-01-02,2201.209961,2202.320068,2171.840088,2175.169922,2175.169922,494700
2020-01-03,2192.580078,2203.379883,2165.389893,2176.459961,2176.459961,631600
2020-01-06,2154.969971,2164.419922,2149.949951,2155.070068,2155.070068,592700
2020-01-07,2166.600098,2181.620117,2164.270020,2175.540039,2175.540039,568200
2020-01-08,2156.270020,2162.320068,2137.719971,2151.310059,2151.310059,913800
2020-01-09,2182.199951,2186.449951,2172.159912,2186.449951,2186.449951,592600
2020-01-10,2189.479980,2206.919922,2188.100098,2206.389893,2206.389893,594500
2020-01-13,2204.489990,2230.429932,2204.489990,2229.260010,2229.260010,488300
2020-01-14,2243.060059,2250.790039,2232.939941,2238.879883,2238.879883,835900
2020-01-15,2229.800049,2238.209961,2223.389893,2230.979980,2230.979980,746200
2020-01-16,2231.929932,2249.090088,2225.409912,2248.050049,2248.050049,808300
2020-01-17,2261.570068,2268.709961,2245.580078,2250.570068,2250.570068,580800
2020-01-20,2261.399902,2277.229980,2258.090088,2262.639893,2262.639893,545500
2020-01-21,2259.810059,2266.310059,2238.250000,2239.689941,2239.689941,770300
2020-01-22,2238.530029,2269.270020,2235.129883,2267.250000,2267.250000,608500
2020-01-23,2254.540039,2260.629883,2241.939941,2246.129883,2246.129883,509600
2020-01-28,2192.219971,2199.929932,2166.229980,2176.719971,2176.719971,808500
2020-01-29,2188.179932,2195.449951,2172.330078,2185.280029,2185.280029,692300
2020-01-30,2181.540039,2187.449951,2139.719971,2148.000000,2148.000000,602700
2020-01-31,2160.600098,2167.229980,2119.010010,2119.010010,2119.010010,710500
2020-02-03,2086.610107,2126.729980,2082.739990,2118.879883,2118.879883,836700
2020-02-04,2121.219971,2162.320068,2120.530029,2157.899902,2157.899902,624600
2020-02-05,2177.260010,2181.520020,2154.879883,2165.629883,2165.629883,574400
2020-02-06,2184.770020,2229.989990,2182.250000,2227.939941,2227.939941,695000
2020-02-07,2221.489990,2223.919922,2198.139893,2211.949951,2211.949951,800200
2020-02-10,2185.629883,2203.389893,2180.510010,2201.070068,2201.070068,609600
2020-02-11,2213.500000,2233.320068,2211.250000,2223.120117,2223.120117,526000
2020-02-12,2225.949951,2242.239990,2214.770020,2238.379883,2238.379883,632500
2020-02-13,2245.719971,2255.489990,2230.300049,2232.959961,2232.959961,638700
2020-02-14,2232.709961,2251.500000,2221.899902,2243.590088,2243.590088,597200
2020-02-17,2243.070068,2250.050049,2230.260010,2242.169922,2242.169922,458200
2020-02-18,2225.979980,2232.929932,2205.209961,2208.879883,2208.879883,470400
2020-02-19,2222.510010,2226.000000,2191.199951,2210.340088,2210.340088,590800
2020-02-20,2223.550049,2228.179932,2186.719971,2195.500000,2195.500000,709600
2020-02-21,2165.649902,2184.429932,2160.280029,2162.840088,2162.840088,635500
2020-02-24,2114.040039,2120.060059,2079.030029,2079.040039,2079.040039,948600
2020-02-25,2075.550049,2105.489990,2071.500000,2103.610107,2103.610107,1565600
2020-02-26,2064.070068,2089.639893,2059.129883,2076.770020,2076.770020,810900
2020-02-27,2073.870117,2085.399902,2049.149902,2054.889893,2054.889893,562500
2020-02-28,2020.170044,2031.010010,1980.819946,1987.010010,1987.010010,671600
2020-03-02,1997.030029,2017.069946,1969.339966,2002.510010,2002.510010,528100
2020-03-03,2051.850098,2051.850098,2009.390015,2014.150024,2014.150024,615700
2020-03-04,2005.810059,2063.590088,2005.810059,2059.330078,2059.330078,606300
2020-03-05,2078.110107,2089.080078,2059.989990,2085.260010,2085.260010,675200
2020-03-06,2053.090088,2062.570068,2032.130005,2040.219971,2040.219971,865600
2020-03-09,1981.020020,1989.500000,1946.900024,1954.770020,1954.770020,666900
2020-03-10,1942.849976,1968.170044,1934.719971,1962.930054,1962.930054,638600
2020-03-11,1965.670044,1967.699951,1898.270020,1908.270020,1908.270020,679700
2020-03-12,1887.969971,1897.229980,1808.560059,1834.329956,1834.329956,850300
2020-03-13,1722.680054,1809.310059,1680.599976,1771.439941,1771.439941,1035300
2020-03-16,1805.430054,1805.430054,1714.380005,1714.859985,1714.859985,682000
2020-03-17,1640.839966,1722.969971,1637.880005,1672.439941,1672.439941,649800
2020-03-18,1686.119995,1693.949951,1591.119995,1591.199951,1591.199951,728000
2020-03-19,1626.089966,1626.089966,1439.430054,1457.640015,1457.640015,977700
2020-03-20,1498.489990,1566.819946,1466.479980,1566.150024,1566.150024,817000
2020-03-23,1474.449951,1516.750000,1458.410034,1482.459961,1482.459961,647200
2020-03-24,1523.689941,1609.969971,1508.680054,1609.969971,1609.969971,679300
2020-03-25,1668.189941,1707.640015,1645.280029,1704.760010,1704.760010,872800
2020-03-26,1699.109985,1735.750000,1679.229980,1686.239990,1686.239990,992500
2020-03-27,1756.069946,1759.050049,1668.209961,1717.729980,1717.729980,1077500
2020-03-30,1670.339966,1729.630005,1659.949951,1717.119995,1717.119995,767800
2020-03-31,1739.290039,1757.810059,1722.619995,1754.640015,1754.640015,1037500
2020-04-01,1737.280029,1762.439941,1685.369995,1685.459961,1685.459961,1243600
2020-04-02,1693.530029,1726.760010,1664.130005,1724.859985,1724.859985,766300
2020-04-03,1731.170044,1743.910034,1706.680054,1725.439941,1725.439941,1000100
2020-04-06,1745.250000,1794.189941,1742.670044,1791.880005,1791.880005,1219400
2020-04-07,1826.719971,1838.969971,1791.920044,1823.599976,1823.599976,951400
2020-04-08,1815.750000,1842.160034,1801.800049,1807.140015,1807.140015,907500
2020-04-09,1838.089966,1839.329956,1818.300049,1836.209961,1836.209961,920600
2020-04-10,1835.760010,1861.099976,1824.430054,1860.699951,1860.699951,992500
2020-04-13,1853.300049,1853.300049,1825.760010,1825.760010,1825.760010,1017800
2020-04-14,1846.410034,1864.459961,1837.170044,1857.079956,1857.079956,886800
2020-04-16,1839.510010,1862.229980,1828.130005,1857.069946,1857.069946,878300
2020-04-17,1893.310059,1926.020020,1893.189941,1914.530029,1914.530029,1667500
2020-04-20,1908.339966,1925.250000,1893.170044,1898.359985,1898.359985,1087500
2020-04-21,1886.780029,1898.319946,1841.660034,1879.380005,1879.380005,1174300
2020-04-22,1855.510010,1897.900024,1844.849976,1896.150024,1896.150024,820400
2020-04-23,1907.449951,1923.530029,1895.979980,1914.729980,1914.729980,683700
2020-04-24,1906.069946,1908.290039,1880.709961,1889.010010,1889.010010,933900
